student,subject,score,attendance,term,date_recorded
Lisa White,Science,74.19,72.1,Term 2,2025-11-16
Lisa White,Geography,73.79,81.25,Term 1,2025-04-17
Lisa White,Chemistry,88.23,89.11,Term 1,2025-03-28
Sophia Jackson,Math,84.05,71.66,Term 1,2025-06-14
Sophia Jackson,History,82.11,96.45,Term 1,2025-08-03
Sophia Jackson,Physics,71.48,72.25,Term 3,2025-05-05
Sophia Jackson,Physics,81.61,73.7,Term 3,2025-10-15
Sophia Jackson,Physics,81.79,77.01,Term 3,2025-09-05
David White,Chemistry,95.28,98.17,Term 1,2025-09-15
David White,Geography,72.42,83.38,Term 2,2025-09-28
David White,English,60.42,96.19,Term 1,2025-07-27
David White,English,74.1,94.96,Term 1,2025-04-23
David White,Physics,55.6,76.51,Term 1,2025-07-17
Emily Smith,Geography,61.95,93.74,Term 2,2025-11-01
Emily Smith,Chemistry,78.14,94.79,Term 1,2025-08-16
Emily Smith,Chemistry,52.47,75.72,Term 2,2025-05-22
Emily Smith,Physics,53.11,88.2,Term 3,2025-01-09
Sophia Wilson,Chemistry,56.07,95.71,Term 3,2025-06-15
Sophia Wilson,Physics,67.06,93.81,Term 3,2025-09-07
Sophia Wilson,Math,54.36,74.51,Term 1,2025-08-16
Sophia Wilson,Math,95.26,90.81,Term 1,2025-06-23
John Johnson,History,84.71,90.49,Term 1,2025-12-19
John Johnson,History,81.8,86.48,Term 3,2025-02-16
John Johnson,Physics,53.66,83.03,Term 3,2025-05-09
Emily Wilson,English,62.65,94.1,Term 1,2025-01-21
Emily Wilson,Chemistry,67.24,88.19,Term 2,2025-07-06
Emily Wilson,History,76.66,95.58,Term 2,2025-12-03
Emily Wilson,English,74.46,70.19,Term 1,2025-03-28
Michael Jackson,English,85.58,84.23,Term 3,2025-08-19
Michael Jackson,Chemistry,79.89,97.88,Term 1,2025-09-09
Michael Jackson,English,79.09,82.98,Term 1,2025-08-11
Michael Jackson,Science,96.31,78.4,Term 2,2025-11-15
Sophia Jackson,History,85.75,95.5,Term 1,2025-04-16
Sophia Jackson,Science,75.9,79.76,Term 3,2025-12-27
Sophia Jackson,Chemistry,56.81,89.91,Term 2,2025-04-25
Alex Brown,English,96.06,92.71,Term 3,2025-06-13
Alex Brown,English,84.05,80.8,Term 2,2025-07-06
Alex Brown,Science,68.8,93.35,Term 3,2025-04-03
Alex Brown,Geography,79.34,98.32,Term 1,2025-01-27
Alex Brown,Physics,88.41,79.73,Term 1,2025-08-16
John Smith,History,81.81,73.47,Term 2,2025-02-19
John Smith,Geography,58.36,84.28,Term 2,2025-04-03
John Smith,Chemistry,85.72,81.35,Term 2,2025-03-01
John Smith,English,64.47,88.15,Term 2,2025-12-02
John Smith,History,83.81,83.77,Term 3,2025-07-23
David Smith,Physics,79.23,79.26,Term 3,2025-06-01
David Smith,English,60.0,87.54,Term 2,2025-10-06
David Smith,Geography,53.6,84.51,Term 3,2025-11-25
Emily Thomas,Geography,51.82,77.91,Term 1,2025-06-04
Emily Thomas,English,56.12,78.3,Term 3,2025-06-17
Emily Thomas,History,67.38,85.48,Term 1,2025-09-01
Alex White,History,62.94,94.07,Term 1,2025-09-28
Alex White,History,70.55,71.01,Term 3,2025-11-17
Alex White,Physics,52.25,86.57,Term 1,2025-04-09
Alex White,Physics,69.03,95.75,Term 3,2025-12-03
Lisa Wilson,Chemistry,64.18,73.69,Term 1,2025-12-14
Lisa Wilson,Chemistry,62.08,76.81,Term 3,2025-02-17
Lisa Wilson,History,79.1,93.63,Term 3,2025-04-23
Lisa Wilson,Physics,76.69,87.21,Term 2,2025-06-11
Lisa Wilson,Science,64.69,94.1,Term 3,2025-04-19
Sophia Anderson,Math,91.04,77.15,Term 2,2025-09-24
Sophia Anderson,Chemistry,80.33,97.97,Term 1,2025-11-01
Sophia Anderson,Geography,95.56,70.26,Term 1,2025-04-08
David White,Math,62.12,76.86,Term 1,2025-05-16
David White,Geography,99.19,84.21,Term 3,2025-03-01
David White,English,65.95,84.76,Term 2,2025-10-13
Sophia Johnson,English,71.64,73.11,Term 3,2025-02-14
Sophia Johnson,Math,80.32,72.57,Term 2,2025-03-15
Sophia Johnson,Math,51.16,99.34,Term 3,2025-11-09
Sophia Johnson,Science,90.69,95.12,Term 3,2025-09-27
Alex Wilson,Math,79.06,88.03,Term 2,2025-09-04
Alex Wilson,Geography,64.56,75.28,Term 3,2025-03-20
Alex Wilson,Science,89.48,71.45,Term 2,2025-08-05
Alex Wilson,Science,80.72,74.09,Term 1,2025-02-26
David Lee,History,93.52,88.2,Term 2,2025-12-04
David Lee,Math,70.27,73.17,Term 3,2025-09-21
David Lee,Math,92.12,70.81,Term 2,2025-09-13
David Lee,Science,59.81,70.29,Term 1,2025-01-20
David Lee,Geography,94.61,82.13,Term 2,2025-01-07
Olivia Taylor,Math,66.06,91.54,Term 3,2025-07-02
Olivia Taylor,Geography,79.11,93.44,Term 3,2025-01-19
Olivia Taylor,Geography,72.19,93.43,Term 3,2025-07-08
Sophia Jackson,Math,77.44,92.94,Term 1,2025-10-12
Sophia Jackson,Physics,96.1,72.72,Term 2,2025-07-26
Sophia Jackson,Science,96.84,80.41,Term 2,2025-03-26
Sophia Jackson,Math,91.46,81.3,Term 2,2025-03-04
John Thomas,History,74.98,89.54,Term 3,2025-08-02
John Thomas,Geography,95.61,70.92,Term 1,2025-01-14
John Thomas,History,63.06,74.49,Term 1,2025-09-28
John Thomas,Physics,79.07,87.08,Term 2,2025-05-15
John Brown,Chemistry,52.25,99.04,Term 1,2025-10-26
John Brown,Physics,78.25,76.02,Term 1,2025-07-01
John Brown,Science,69.81,82.3,Term 3,2025-03-12
John Brown,Science,56.74,73.45,Term 1,2025-11-23
John Brown,Math,61.39,88.63,Term 2,2025-09-24
John Smith,Physics,83.86,79.18,Term 2,2025-12-26
John Smith,Physics,92.79,78.28,Term 1,2025-11-15
John Smith,Physics,93.63,75.64,Term 3,2025-08-22
John Smith,History,99.49,95.04,Term 3,2025-10-11
Michael Brown,Geography,58.93,98.54,Term 1,2025-03-19
Michael Brown,History,76.56,82.71,Term 2,2025-06-01
Michael Brown,English,98.89,84.28,Term 3,2025-02-11
Michael Brown,English,73.16,77.55,Term 1,2025-07-05
Emily Wilson,Science,57.45,83.39,Term 3,2025-06-27
Emily Wilson,History,66.09,99.55,Term 2,2025-02-23
Emily Wilson,Chemistry,72.79,91.21,Term 1,2025-04-22
Emily Wilson,Geography,93.64,86.03,Term 2,2025-02-13
Alex Brown,Science,95.47,72.22,Term 3,2025-02-28
Alex Brown,Chemistry,77.57,92.18,Term 3,2025-07-06
Alex Brown,Math,64.53,96.98,Term 1,2025-08-20
Alex Brown,Math,53.47,94.26,Term 2,2025-04-03
Alex Brown,Chemistry,91.81,76.54,Term 1,2025-02-13
Michael White,Math,69.97,73.0,Term 3,2025-11-18
Michael White,Science,55.14,75.28,Term 3,2025-04-16
Michael White,Math,78.96,80.98,Term 1,2025-07-06
Jane Taylor,Physics,93.08,77.35,Term 1,2025-03-18
Jane Taylor,Science,88.51,75.47,Term 1,2025-07-01
Jane Taylor,Physics,83.27,82.39,Term 2,2025-04-27
David Johnson,History,70.74,82.72,Term 3,2025-08-24
David Johnson,History,72.15,87.02,Term 2,2025-02-17
David Johnson,Math,74.33,81.8,Term 1,2025-08-26
Lisa Wilson,English,72.68,79.42,Term 2,2025-05-01
Lisa Wilson,Math,70.34,72.26,Term 2,2025-06-16
Lisa Wilson,Science,83.61,87.74,Term 3,2025-11-12
David Wilson,Geography,79.96,83.0,Term 2,2025-01-10
David Wilson,Math,60.57,79.45,Term 2,2025-01-17
David Wilson,Geography,63.38,80.56,Term 2,2025-08-22
Michael Johnson,History,72.2,88.38,Term 2,2025-11-26
Michael Johnson,Math,76.43,96.26,Term 2,2025-02-09
Michael Johnson,Math,83.47,96.54,Term 2,2025-09-13
Michael Johnson,English,56.92,77.55,Term 1,2025-08-12
Michael Johnson,Science,56.37,77.03,Term 3,2025-05-02
Sophia Johnson,History,66.66,82.97,Term 1,2025-02-13
Sophia Johnson,History,72.39,99.37,Term 2,2025-07-09
Sophia Johnson,Geography,52.65,82.65,Term 2,2025-01-03
Sophia Johnson,Physics,59.14,74.53,Term 2,2025-09-21
Jane Brown,Chemistry,76.83,75.98,Term 3,2025-09-15
Jane Brown,Math,72.74,83.1,Term 3,2025-11-09
Jane Brown,History,71.37,97.33,Term 2,2025-10-14
Jane Brown,History,59.71,75.46,Term 1,2025-04-15
Jane Brown,History,68.74,92.0,Term 3,2025-06-23
Jane Lee,Chemistry,62.53,79.86,Term 2,2025-07-23
Jane Lee,Math,94.3,80.56,Term 1,2025-09-12
Jane Lee,English,53.55,96.99,Term 2,2025-10-09
John Brown,Physics,88.43,78.82,Term 2,2025-04-06
John Brown,History,78.76,81.56,Term 3,2025-07-14
John Brown,Physics,63.5,91.04,Term 3,2025-04-02
John Brown,English,63.55,79.54,Term 1,2025-06-14
John Brown,Math,64.32,96.5,Term 1,2025-02-24
Lisa Thomas,Science,80.36,90.8,Term 2,2025-09-15
Lisa Thomas,Physics,61.53,97.64,Term 1,2025-05-26
Lisa Thomas,English,66.64,99.0,Term 3,2025-02-01
Lisa Thomas,Science,72.02,76.76,Term 1,2025-02-22
Lisa Thomas,Physics,80.1,85.11,Term 3,2025-05-28
Sophia Smith,Geography,52.81,87.65,Term 1,2025-09-23
Sophia Smith,Geography,89.93,90.69,Term 1,2025-10-21
Sophia Smith,Physics,55.84,85.08,Term 2,2025-05-04
Sophia Smith,Chemistry,96.67,95.44,Term 3,2025-09-16
Sophia Taylor,Science,50.98,99.65,Term 2,2025-12-25
Sophia Taylor,English,74.01,99.37,Term 3,2025-09-06
Sophia Taylor,Chemistry,80.62,82.83,Term 2,2025-09-10
Sophia Taylor,Math,74.56,91.83,Term 2,2025-11-05
Sophia Taylor,English,82.14,73.69,Term 3,2025-02-06
Alex Johnson,Physics,64.66,72.98,Term 1,2025-09-17
Alex Johnson,Science,60.73,78.32,Term 2,2025-04-09
Alex Johnson,English,99.84,73.61,Term 3,2025-11-04
Alex Johnson,Geography,79.01,88.07,Term 1,2025-06-17
Alex Johnson,English,63.57,80.42,Term 2,2025-11-07
Michael Taylor,English,63.07,90.35,Term 3,2025-09-28
Michael Taylor,Physics,92.1,75.86,Term 3,2025-09-12
Michael Taylor,Chemistry,62.51,86.07,Term 2,2025-05-26
Michael Taylor,Chemistry,53.96,86.62,Term 2,2025-06-18
Michael Taylor,Geography,78.16,96.66,Term 2,2025-02-11
David Brown,Geography,90.21,90.13,Term 2,2025-11-13
David Brown,English,57.34,85.66,Term 2,2025-01-22
David Brown,Math,65.83,83.61,Term 2,2025-03-12
David Smith,Physics,64.52,77.88,Term 1,2025-11-10
David Smith,History,50.12,81.47,Term 3,2025-06-23
David Smith,English,62.39,97.07,Term 2,2025-09-20
David Smith,Chemistry,93.63,85.63,Term 1,2025-12-27
David Smith,English,84.01,96.09,Term 2,2025-09-03
Daniel Smith,Science,58.58,75.0,Term 2,2025-09-22
Daniel Smith,Geography,90.63,75.48,Term 2,2025-01-14
Daniel Smith,English,88.97,76.4,Term 1,2025-05-18
Jane Wilson,Math,72.44,85.96,Term 3,2025-05-23
Jane Wilson,History,84.32,82.74,Term 3,2025-11-03
Jane Wilson,Science,53.95,76.92,Term 3,2025-07-19
Jane Wilson,Chemistry,72.38,71.48,Term 1,2025-01-20
Jane White,Math,98.76,82.48,Term 1,2025-05-28
Jane White,Geography,56.78,94.18,Term 3,2025-11-26
Jane White,Physics,77.7,90.1,Term 2,2025-01-16
